,,"Raw abundance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Blank",,,,,,,,"Sample",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"m/z","Retention time (min)","Blank_C1_10ul#4_Seg1Ev2","Blank_C1_10ul#7_Seg1Ev2","Blank_C1_10ul#10_Seg1Ev2","Blank_C1_10ul#14_Seg1Ev2","Blank_C1_10ul#15_Seg1Ev2","Blank_C1_10ul#18_Seg1Ev2","Blank_C1_10ul#21_Seg1Ev2","Blank_C1_10ul#22_Seg1Ev2","1_1k10_10_ul_AutoMSMS_Neg_#1_Seg1Ev1","2_1k10_10_ul_AutoMSMS_Neg_#1_Seg1Ev1","3_1k10_10_ul_AutoMSMS_Neg_#1_Seg1Ev1","4_1k10_10_ul_AutoMSMS_Neg_#1_Seg1Ev1","5_1k10_10_ul_AutoMSMS_Neg_#1_Seg1Ev1","6_1k10_10_ul_AutoMSMS_Neg_#1_Seg1Ev1","7_1k10_10_ul_AutoMSMS_Neg_#1_Seg1Ev1","8_1k10_10_ul_AutoMSMS_Neg_#1_Seg1Ev1","9_1k10_10_ul_AutoMSMS_Neg_#1_Seg1Ev1","10_1k10_10_ul_AutoMSMS_Neg_#1_Seg1Ev1","11_1k10_10_ul_AutoMSMS_Neg_#1_Seg1Ev1","12_1k10_10_ul_AutoMSMS_Neg_#1_Seg1Ev1","13_1k10_10_ul_AutoMSMS_Neg_#1_Seg1Ev1","14_1k10_10_ul_AutoMSMS_Neg_#1_Seg1Ev1","15_1k10_10_ul_AutoMSMS_Neg_#1_Seg1Ev1","16_1k10_10_ul_AutoMSMS_Neg_#1_Seg1Ev1","17_1k10_10_ul_AutoMSMS_Neg_#1_Seg1Ev1","18_1k10_10_ul_AutoMSMS_Neg_#1_Seg1Ev1","19_1k10_10_ul_AutoMSMS_Neg_#1_Seg1Ev1","20_1k10_10_ul_AutoMSMS_Neg_#1_Seg1Ev1","21_1k10_10_ul_AutoMSMS_Neg_#1_Seg1Ev1","22_1k10_10_ul_AutoMSMS_Neg_#1_Seg1Ev1","23_1k10_10_ul_AutoMSMS_Neg_#1_Seg1Ev1","24_1k10_10_ul_AutoMSMS_Neg_#1_Seg1Ev1","25_1k10_10_ul_AutoMSMS_Neg_#1_Seg1Ev1","26_1k10_10_ul_AutoMSMS_Neg_#1_Seg1Ev1","27_1k10_10_ul_AutoMSMS_Neg_#1_Seg1Ev1","28_1k10_10_ul_AutoMSMS_Neg_#1_Seg1Ev1","29_1k10_10_ul_AutoMSMS_Neg_#1_Seg1Ev1","30_1k10_10_ul_AutoMSMS_Neg_#1_Seg1Ev1","31_1k10_10_ul_AutoMSMS_Neg_#1_Seg1Ev1","32_1k10_10_ul_AutoMSMS_Neg_#1_Seg1Ev1","33_1k10_10_ul_AutoMSMS_Neg_#1_Seg1Ev1","34_1k10_10_ul_AutoMSMS_Neg_#1_Seg1Ev1","35_1k10_10_ul_AutoMSMS_Neg_#1_Seg1Ev1","36_1k10_10_ul_AutoMSMS_Neg_#1_Seg1Ev1"
"329.236695169541","8.10166666666667","0","0","0","0","0","0","0","0","3614650.72671479","3436028.99081012","1923909.86875633","1467563.4256178","1305122.97998125","1647135.00540737","672516.312888499","948113.493857199","6504014.68193398","3928980.88106131","3024943.67169257","1078250.81925216","3166982.19533597","0","4687.20731484294","2487948.060904","2716590.0017232","5348243.44582982","4933072.47088318","3668038.30172585","699512.27817303","1666807.04302467","2236713.74783178","1783608.09711971","1021237.86330743","2760714.03139962","243852.71783447","1603653.39088953","1981748.09269812","3545575.23160994","1087490.62359617","827170.131561281","3462650.95213147","4583895.14975411","1436288.0859225","773684.173324958"
"429.180239830834","6.36166666666667","0","0","0","0","0","0","0","0","232650.076120452","52493.7194483335","87445.3253808934","91962.6183605706","27596.1133421606","129784.719512939","552216.062973018","0","113287.744308356","53639.7356022997","131417.718078618","246570.047778295","35479.7766113285","3295.22177124074","47442.118044567","233849.671762918","264391.948669446","99673.4112787985","193325.389195316","176368.004751172","443727.063274936","90157.3150939932","117423.863439932","45759.9674530017","809867.999038043","16724.2930223278","1097861.72924325","127148.518269179","148382.692645698","27064.7788602851","7157.77236938534","32374.2035827622","74428.0744094866","147203.420416146","107140.109576054","58665.5669518985"
"243.127811427157","6.73","0","0","0","0","0","0","0","0","142765.756399816","108762.841949466","112436.826607512","22001.7685592315","12393.0580086273","30525.3256789124","12748.8561096187","28121.7222290028","40357.8026313763","128928.429900049","8014.7340413132","25469.9165256052","38166.7061762926","0","6260.96178976163","50621.7538940331","16714.748651162","101063.552657784","187008.90834501","31932.3340049779","22725.8799378721","18620.1155316043","47499.0454814218","37638.29945863","22357.7269904675","16040.1111755363","15164.5863052005","137170.531073621","62893.2013461365","136400.203808554","15038.0422973635","3312.22494506857","8958.12731933597","62972.3349609366","22859.2504116344","96515.7164110398"
"323.126886355865","4.295","0","0","0","0","0","0","0","0","16100.4678192127","9309.32196044945","49207.8985887448","220736.639044308","16830.1968360445","60855.0572357196","22673.6080169687","56508.3656616176","78552.6091613789","6711.01440429685","651940.009038288","1580293.65774778","5889.71966552698","46233.1863403309","14815.5256347645","231477.953544634","63885.3665618865","235300.898880007","431329.885225432","40212.9208376279","49834.650390627","41563.3012084974","16676.4763183594","35073.1300354005","46525.6906350815","6672.67410278384","2575.47692871113","40465.733713336","285528.655267132","14972.7643890375","3602.70623779312","26508.8659261421","142455.255400827","1603.11012268071","141787.667694092","108849.455063365"
"449.272034605972","7.80166666666667","0","0","0","0","0","0","0","0","294721.798933802","179652.228655099","101319.236099149","79664.3769983086","535581.33357205","130561.758680459","19838.3069882739","10005.3457031245","264194.186833066","337282.485011321","24157.1797790536","49379.5872930783","176590.540507535","9095.76979497843","6013.41562757736","51651.151758454","89702.6624932186","221022.697683982","125684.245481821","60337.1394227392","39615.1108093259","18742.7579650874","54527.6290143405","6660.79895782488","38533.3846717854","60971.2435208687","19526.0526125167","124090.613581903","77792.9095899655","121577.493676531","85189.0430617162","4945.61505126919","287994.85304264","173895.145065082","82671.4338596507","68633.6039851865"
"293.118566492342","4.715","0","0","0","0","0","0","0","0","27632.2893981922","45528.606825887","100825.125381056","52184.7552185065","770807.492758925","978776.834146758","62942.3463696151","4215.4596128124","117324.546829228","12564.1711578372","129084.153090829","70327.3393859856","20922.1860336985","6145.94868469222","121032.719926253","75487.9883880623","294216.340606746","184736.977050777","1798020.71006838","550860.280152904","271511.432276252","100298.254069023","129316.856750485","34361.1013946546","86305.4657134997","53271.5815124535","11813.3095703122","67658.0496063238","261011.111946757","15407.4673156737","36063.4136199967","272391.288136463","337593.965992118","84373.8303909298","34665.1314544671","110743.057853698"
"417.137113754977","4.715","0","0","0","0","0","0","0","0","43611.6841735856","675768.441146864","8291.58195557081","731977.271044951","41524.9807315526","29388.0013427732","15311.3411581494","138888.812747655","114580.687804658","23368.0124271313","13561.8803710945","116473.757127767","18275.431610107","1720642.03713987","633.759155273329","61618.796269884","83790.936009993","101202.089500953","141860.462064936","47208.6036682131","90604.1634201833","117501.504737657","163898.898391723","41052.019622805","250016.780426027","37209.7127595873","126711.824066163","38038.2126159678","107565.804763796","142128.336219818","5525.93835449206","1135.40686035154","38869.2052459715","11085.9645996085","103174.553577972","179810.642826833"
"417.183385699166","6.42833333333333","0","0","0","0","0","0","0","0","26779.9327697749","75684.4933776866","50605.8370364693","258022.131431607","68306.0947723389","190986.104345497","21379.9217224119","110378.165527344","250156.792105337","96044.5740059004","54799.8959384651","9588.29815673886","75434.2901611311","51944.7416137089","3133.50854492164","368861.117545435","963591.602881962","185732.437497229","1116612.61332547","156033.761468189","135004.563842774","106530.316124442","175550.689388282","127180.305465701","111236.274268146","52723.1173275159","16132.0252380375","81204.1925666387","71839.0115284671","10699.4245387782","0","8257.84101867689","25238.8033981328","28184.7730102528","277478.566227487","60975.391937024"
